DATAFLOW,MEASURE,REGIONTYPE,LGA_2018,FREQUENCY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11570,A,2017,4047,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11600,A,2013,6912,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11600,A,2014,7661,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11600,A,2015,6589,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11600,A,2016,6730,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11600,A,2017,6079,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11650,A,2013,5938,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11650,A,2014,6148,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11650,A,2015,6153,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11650,A,2016,6227,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11650,A,2017,6188,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11700,A,2013,6233,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11700,A,2014,7957,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11700,A,2015,6738,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11700,A,2016,6487,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11700,A,2017,7891,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11720,A,2013,4964,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11720,A,2014,4345,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11720,A,2015,4614,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11720,A,2016,4249,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11720,A,2017,4425,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11730,A,2013,4879,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11730,A,2014,4808,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11730,A,2015,4959,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11730,A,2016,4986,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11730,A,2017,5257,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11750,A,2013,2712,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11750,A,2014,2931,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11750,A,2015,3604,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11750,A,2016,3393,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11750,A,2017,3609,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11800,A,2013,5767,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11800,A,2014,6257,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11800,A,2015,6138,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11800,A,2016,6010,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,11800,A,2017,6475,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12000,A,2013,8559,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12000,A,2014,6686,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12000,A,2015,6501,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12000,A,2016,5830,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12000,A,2017,6740,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12150,A,2013,11377,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12150,A,2014,10806,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12150,A,2015,13790,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12150,A,2016,9465,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12150,A,2017,12536,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12160,A,2013,8258,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12160,A,2014,8644,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12160,A,2015,9243,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12160,A,2016,8269,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12160,A,2017,9043,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12350,A,2013,7418,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12350,A,2014,8069,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12350,A,2015,7959,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12350,A,2016,7527,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12350,A,2017,8610,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12380,A,2013,2911,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12380,A,2014,3141,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12380,A,2015,2932,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12380,A,2016,2687,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12380,A,2017,2568,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12390,A,2013,6639,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12390,A,2014,7092,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12390,A,2015,7033,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12390,A,2016,6716,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12390,A,2017,6878,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12700,A,2013,6637,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12700,A,2014,6564,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12700,A,2015,7303,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12700,A,2016,7038,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12700,A,2017,7357,AUD,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),INCOME_27,LGA2018,12730,A,2013,8733,AUD,,,
