lga_2016,state,industry_people,industry_type,industry_type_full,lga_total_industry_people
47700,4,2481,hospitality,accommodation_and_food_services,47302
47800,4,121,hospitality,accommodation_and_food_services,2292
47910,4,63,hospitality,accommodation_and_food_services,1087
47980,4,1338,hospitality,accommodation_and_food_services,18491
48050,4,467,hospitality,accommodation_and_food_services,4649
48130,4,136,hospitality,accommodation_and_food_services,2783
48260,4,221,hospitality,accommodation_and_food_services,3402
48340,4,277,hospitality,accommodation_and_food_services,5033
48410,4,2432,hospitality,accommodation_and_food_services,27750
48540,4,597,hospitality,accommodation_and_food_services,8299
48640,4,25,hospitality,accommodation_and_food_services,647
48750,4,181,hospitality,accommodation_and_food_services,1983
48830,4,283,hospitality,accommodation_and_food_services,4061
49399,4,162,hospitality,accommodation_and_food_services,1675
49499,4,60,hospitality,accommodation_and_food_services,734
49799,4,0,hospitality,accommodation_and_food_services,3
50080,5,1093,hospitality,accommodation_and_food_services,15988
50210,5,1919,hospitality,accommodation_and_food_services,36286
50250,5,400,hospitality,accommodation_and_food_services,8305
50280,5,789,hospitality,accommodation_and_food_services,6892
50350,5,424,hospitality,accommodation_and_food_services,7242
50420,5,2490,hospitality,accommodation_and_food_services,32423
50490,5,1531,hospitality,accommodation_and_food_services,18599
50560,5,24,hospitality,accommodation_and_food_services,671
50630,5,34,hospitality,accommodation_and_food_services,856
50770,5,16,hospitality,accommodation_and_food_services,752
50840,5,126,hospitality,accommodation_and_food_services,1942
50910,5,13,hospitality,accommodation_and_food_services,394
50980,5,745,hospitality,accommodation_and_food_services,7379
51080,5,3,hospitality,accommodation_and_food_services,465
51120,5,18,hospitality,accommodation_and_food_services,413
51190,5,928,hospitality,accommodation_and_food_services,13729
51260,5,1704,hospitality,accommodation_and_food_services,16075
51310,5,732,hospitality,accommodation_and_food_services,12935
51330,5,3609,hospitality,accommodation_and_food_services,42134
51400,5,375,hospitality,accommodation_and_food_services,8019
51470,5,10,hospitality,accommodation_and_food_services,252
51540,5,213,hospitality,accommodation_and_food_services,2344
51610,5,18,hospitality,accommodation_and_food_services,652
51680,5,83,hospitality,accommodation_and_food_services,2526
51750,5,233,hospitality,accommodation_and_food_services,4419
51820,5,2920,hospitality,accommodation_and_food_services,51765
51890,5,260,hospitality,accommodation_and_food_services,3285
51960,5,77,hospitality,accommodation_and_food_services,1476
52030,5,26,hospitality,accommodation_and_food_services,429
52100,5,20,hospitality,accommodation_and_food_services,525
52170,5,199,hospitality,accommodation_and_food_services,3694
52240,5,9,hospitality,accommodation_and_food_services,524
52310,5,15,hospitality,accommodation_and_food_services,371
52380,5,0,hospitality,accommodation_and_food_services,66
52450,5,9,hospitality,accommodation_and_food_services,619
52520,5,31,hospitality,accommodation_and_food_services,726
52590,5,114,hospitality,accommodation_and_food_services,1453
52660,5,368,hospitality,accommodation_and_food_services,6425
52730,5,221,hospitality,accommodation_and_food_services,2364
52800,5,128,hospitality,accommodation_and_food_services,2324
52870,5,105,hospitality,accommodation_and_food_services,2509
52940,5,9,hospitality,accommodation_and_food_services,307
53010,5,10,hospitality,accommodation_and_food_services,324
53080,5,41,hospitality,accommodation_and_food_services,305
53150,5,235,hospitality,accommodation_and_food_services,3720
53220,5,289,hospitality,accommodation_and_food_services,5853
53290,5,411,hospitality,accommodation_and_food_services,6377
53360,5,164,hospitality,accommodation_and_food_services,1405
53430,5,1006,hospitality,accommodation_and_food_services,13973
53570,5,109,hospitality,accommodation_and_food_services,2154
53640,5,13,hospitality,accommodation_and_food_services,602
53710,5,9,hospitality,accommodation_and_food_services,446
53780,5,3481,hospitality,accommodation_and_food_services,52930
53800,5,1129,hospitality,accommodation_and_food_services,16701
53920,5,24,hospitality,accommodation_and_food_services,705
53990,5,591,hospitality,accommodation_and_food_services,11684
54060,5,126,hospitality,accommodation_and_food_services,1389
54130,5,38,hospitality,accommodation_and_food_services,569
54170,5,4169,hospitality,accommodation_and_food_services,78978
54200,5,1443,hospitality,accommodation_and_food_services,27255
54280,5,872,hospitality,accommodation_and_food_services,14898
54310,5,582,hospitality,accommodation_and_food_services,10701
54340,5,63,hospitality,accommodation_and_food_services,1759
54410,5,26,hospitality,accommodation_and_food_services,487
54480,5,9,hospitality,accommodation_and_food_services,298
54550,5,19,hospitality,accommodation_and_food_services,964
54620,5,30,hospitality,accommodation_and_food_services,488
54690,5,3,hospitality,accommodation_and_food_services,192
54760,5,9,hospitality,accommodation_and_food_services,413
54830,5,1042,hospitality,accommodation_and_food_services,16802
54900,5,16,hospitality,accommodation_and_food_services,708
54970,5,12,hospitality,accommodation_and_food_services,598
55040,5,44,hospitality,accommodation_and_food_services,669
55110,5,2183,hospitality,accommodation_and_food_services,31036
55180,5,304,hospitality,accommodation_and_food_services,4184
55250,5,23,hospitality,accommodation_and_food_services,463
55320,5,2864,hospitality,accommodation_and_food_services,46665
55390,5,14,hospitality,accommodation_and_food_services,220
55460,5,69,hospitality,accommodation_and_food_services,1498
55530,5,4,hospitality,accommodation_and_food_services,232
55600,5,41,hospitality,accommodation_and_food_services,1137
55670,5,10,hospitality,accommodation_and_food_services,304
55740,5,287,hospitality,accommodation_and_food_services,4059
55810,5,12,hospitality,accommodation_and_food_services,150
55880,5,12,hospitality,accommodation_and_food_services,273
55950,5,4,hospitality,accommodation_and_food_services,276
56090,5,811,hospitality,accommodation_and_food_services,17390
56160,5,3,hospitality,accommodation_and_food_services,52
56230,5,380,hospitality,accommodation_and_food_services,6418
56300,5,60,hospitality,accommodation_and_food_services,544
56370,5,12,hospitality,accommodation_and_food_services,409
56460,5,94,hospitality,accommodation_and_food_services,2093
56580,5,528,hospitality,accommodation_and_food_services,9772
56620,5,5,hospitality,accommodation_and_food_services,284
56730,5,208,hospitality,accommodation_and_food_services,4337
56790,5,187,hospitality,accommodation_and_food_services,1370
56860,5,3,hospitality,accommodation_and_food_services,110
56930,5,36,hospitality,accommodation_and_food_services,697
57000,5,15,hospitality,accommodation_and_food_services,385
