DATAFLOW,MEASURE,REGIONTYPE,LGA_2018,FREQUENCY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,OBS_COMMENT
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57080,A,2014,25257,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57080,A,2015,26096,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57080,A,2016,26879,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57080,A,2017,27273,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57080,A,2018,27762,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57140,A,2001,1217,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57140,A,2002,1214,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57140,A,2003,1215,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57140,A,2004,1208,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57140,A,2005,1217,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57140,A,2006,1220,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57140,A,2007,1207,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57140,A,2008,1206,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57140,A,2009,1209,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57140,A,2010,1215,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57140,A,2011,1209,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57140,A,2012,1206,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57140,A,2013,1205,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57140,A,2014,1187,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57140,A,2015,1202,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57140,A,2016,1183,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57140,A,2017,1169,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57140,A,2018,1152,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57210,A,2001,4707,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57210,A,2002,4658,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57210,A,2003,4622,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57210,A,2004,4605,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57210,A,2005,4643,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57210,A,2006,4694,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57210,A,2007,4762,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57210,A,2008,4863,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57210,A,2009,4974,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57210,A,2010,4978,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57210,A,2011,5032,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57210,A,2012,5118,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57210,A,2013,5172,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57210,A,2014,5151,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57210,A,2015,5130,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57210,A,2016,5103,PSNS,,
