lga_2016,state,people,report_type,weekly_range_start,weekly_range_end,annual_range_start,annual_range_end
46510,4,256,value,1000,1249,52000,64999
46670,4,219,value,1000,1249,52000,64999
46860,4,28,value,1000,1249,52000,64999
46970,4,12,value,1000,1249,52000,64999
47140,4,3130,value,1000,1249,52000,64999
47290,4,43,value,1000,1249,52000,64999
47490,4,44,value,1000,1249,52000,64999
47630,4,127,value,1000,1249,52000,64999
47700,4,1946,value,1000,1249,52000,64999
47800,4,139,value,1000,1249,52000,64999
47910,4,43,value,1000,1249,52000,64999
47980,4,404,value,1000,1249,52000,64999
48050,4,464,value,1000,1249,52000,64999
48130,4,128,value,1000,1249,52000,64999
48260,4,85,value,1000,1249,52000,64999
48340,4,252,value,1000,1249,52000,64999
48410,4,1045,value,1000,1249,52000,64999
48540,4,399,value,1000,1249,52000,64999
48640,4,21,value,1000,1249,52000,64999
48750,4,142,value,1000,1249,52000,64999
48830,4,288,value,1000,1249,52000,64999
49399,4,48,value,1000,1249,52000,64999
49799,4,0,value,1000,1249,52000,64999
50080,5,645,value,1000,1249,52000,64999
50210,5,1221,value,1000,1249,52000,64999
50250,5,23,value,1000,1249,52000,64999
50280,5,259,value,1000,1249,52000,64999
50350,5,202,value,1000,1249,52000,64999
50420,5,973,value,1000,1249,52000,64999
50490,5,555,value,1000,1249,52000,64999
50560,5,40,value,1000,1249,52000,64999
50630,5,25,value,1000,1249,52000,64999
50770,5,29,value,1000,1249,52000,64999
50840,5,82,value,1000,1249,52000,64999
50910,5,17,value,1000,1249,52000,64999
50980,5,183,value,1000,1249,52000,64999
51080,5,23,value,1000,1249,52000,64999
51120,5,18,value,1000,1249,52000,64999
51190,5,586,value,1000,1249,52000,64999
51260,5,632,value,1000,1249,52000,64999
51310,5,210,value,1000,1249,52000,64999
51330,5,1324,value,1000,1249,52000,64999
51400,5,227,value,1000,1249,52000,64999
51470,5,3,value,1000,1249,52000,64999
51540,5,61,value,1000,1249,52000,64999
51610,5,18,value,1000,1249,52000,64999
51680,5,76,value,1000,1249,52000,64999
51750,5,64,value,1000,1249,52000,64999
51820,5,1310,value,1000,1249,52000,64999
51890,5,150,value,1000,1249,52000,64999
51960,5,40,value,1000,1249,52000,64999
52030,5,18,value,1000,1249,52000,64999
52100,5,16,value,1000,1249,52000,64999
52170,5,45,value,1000,1249,52000,64999
52240,5,33,value,1000,1249,52000,64999
52310,5,12,value,1000,1249,52000,64999
52380,5,3,value,1000,1249,52000,64999
52450,5,18,value,1000,1249,52000,64999
52520,5,15,value,1000,1249,52000,64999
52590,5,45,value,1000,1249,52000,64999
52660,5,206,value,1000,1249,52000,64999
52730,5,140,value,1000,1249,52000,64999
52800,5,113,value,1000,1249,52000,64999
52870,5,113,value,1000,1249,52000,64999
52940,5,9,value,1000,1249,52000,64999
53010,5,19,value,1000,1249,52000,64999
53080,5,9,value,1000,1249,52000,64999
53150,5,50,value,1000,1249,52000,64999
53220,5,37,value,1000,1249,52000,64999
53290,5,191,value,1000,1249,52000,64999
53360,5,18,value,1000,1249,52000,64999
53430,5,317,value,1000,1249,52000,64999
53570,5,102,value,1000,1249,52000,64999
53640,5,14,value,1000,1249,52000,64999
53710,5,22,value,1000,1249,52000,64999
53780,5,1902,value,1000,1249,52000,64999
53800,5,521,value,1000,1249,52000,64999
53920,5,58,value,1000,1249,52000,64999
53990,5,421,value,1000,1249,52000,64999
54060,5,61,value,1000,1249,52000,64999
54130,5,21,value,1000,1249,52000,64999
54170,5,1960,value,1000,1249,52000,64999
54200,5,838,value,1000,1249,52000,64999
54280,5,220,value,1000,1249,52000,64999
54310,5,86,value,1000,1249,52000,64999
54340,5,50,value,1000,1249,52000,64999
54410,5,24,value,1000,1249,52000,64999
54480,5,9,value,1000,1249,52000,64999
54550,5,41,value,1000,1249,52000,64999
54620,5,10,value,1000,1249,52000,64999
54690,5,3,value,1000,1249,52000,64999
54760,5,13,value,1000,1249,52000,64999
54830,5,608,value,1000,1249,52000,64999
54900,5,22,value,1000,1249,52000,64999
54970,5,8,value,1000,1249,52000,64999
55040,5,8,value,1000,1249,52000,64999
55110,5,1499,value,1000,1249,52000,64999
55180,5,180,value,1000,1249,52000,64999
55250,5,12,value,1000,1249,52000,64999
55320,5,1177,value,1000,1249,52000,64999
55390,5,7,value,1000,1249,52000,64999
55460,5,50,value,1000,1249,52000,64999
55530,5,8,value,1000,1249,52000,64999
55600,5,19,value,1000,1249,52000,64999
55670,5,12,value,1000,1249,52000,64999
55740,5,67,value,1000,1249,52000,64999
55810,5,0,value,1000,1249,52000,64999
55880,5,5,value,1000,1249,52000,64999
55950,5,9,value,1000,1249,52000,64999
56090,5,533,value,1000,1249,52000,64999
56160,5,3,value,1000,1249,52000,64999
56230,5,303,value,1000,1249,52000,64999
56300,5,27,value,1000,1249,52000,64999
56370,5,15,value,1000,1249,52000,64999
56460,5,88,value,1000,1249,52000,64999
56580,5,133,value,1000,1249,52000,64999
56620,5,27,value,1000,1249,52000,64999
56730,5,180,value,1000,1249,52000,64999
56790,5,50,value,1000,1249,52000,64999
56860,5,3,value,1000,1249,52000,64999
56930,5,7,value,1000,1249,52000,64999
57000,5,3,value,1000,1249,52000,64999
57080,5,163,value,1000,1249,52000,64999
57140,5,29,value,1000,1249,52000,64999
57210,5,97,value,1000,1249,52000,64999
57280,5,55,value,1000,1249,52000,64999
57350,5,19,value,1000,1249,52000,64999
57420,5,23,value,1000,1249,52000,64999
57490,5,1748,value,1000,1249,52000,64999
57630,5,0,value,1000,1249,52000,64999
57700,5,319,value,1000,1249,52000,64999
57770,5,15,value,1000,1249,52000,64999
57840,5,471,value,1000,1249,52000,64999
57910,5,2870,value,1000,1249,52000,64999
57980,5,146,value,1000,1249,52000,64999
58050,5,1918,value,1000,1249,52000,64999
58190,5,12,value,1000,1249,52000,64999
58260,5,14,value,1000,1249,52000,64999
58330,5,96,value,1000,1249,52000,64999
58400,5,4,value,1000,1249,52000,64999
58470,5,3,value,1000,1249,52000,64999
58510,5,455,value,1000,1249,52000,64999
58540,5,10,value,1000,1249,52000,64999
58570,5,285,value,1000,1249,52000,64999
58610,5,48,value,1000,1249,52000,64999
58680,5,8,value,1000,1249,52000,64999
58760,5,2587,value,1000,1249,52000,64999
58820,5,70,value,1000,1249,52000,64999
58890,5,14,value,1000,1249,52000,64999
59030,5,0,value,1000,1249,52000,64999
59100,5,8,value,1000,1249,52000,64999
59170,5,13,value,1000,1249,52000,64999
59250,5,10,value,1000,1249,52000,64999
59310,5,23,value,1000,1249,52000,64999
59320,5,10,value,1000,1249,52000,64999
59330,5,10,value,1000,1249,52000,64999
59340,5,81,value,1000,1249,52000,64999
59350,5,0,value,1000,1249,52000,64999
59360,5,13,value,1000,1249,52000,64999
59370,5,75,value,1000,1249,52000,64999
59799,5,0,value,1000,1249,52000,64999
60210,6,164,value,1000,1249,52000,64999
60410,6,381,value,1000,1249,52000,64999
60610,6,415,value,1000,1249,52000,64999
60810,6,540,value,1000,1249,52000,64999
61010,6,49,value,1000,1249,52000,64999
61210,6,144,value,1000,1249,52000,64999
61410,6,1097,value,1000,1249,52000,64999
61510,6,248,value,1000,1249,52000,64999
61610,6,592,value,1000,1249,52000,64999
61810,6,155,value,1000,1249,52000,64999
62010,6,27,value,1000,1249,52000,64999
62210,6,173,value,1000,1249,52000,64999
62410,6,137,value,1000,1249,52000,64999
62610,6,1031,value,1000,1249,52000,64999
62810,6,622,value,1000,1249,52000,64999
63010,6,417,value,1000,1249,52000,64999
63210,6,141,value,1000,1249,52000,64999
63410,6,25,value,1000,1249,52000,64999
63610,6,652,value,1000,1249,52000,64999
63810,6,242,value,1000,1249,52000,64999
64010,6,1296,value,1000,1249,52000,64999
64210,6,402,value,1000,1249,52000,64999
64610,6,291,value,1000,1249,52000,64999
64810,6,315,value,1000,1249,52000,64999
65010,6,130,value,1000,1249,52000,64999
65210,6,65,value,1000,1249,52000,64999
65410,6,344,value,1000,1249,52000,64999
65610,6,70,value,1000,1249,52000,64999
65810,6,493,value,1000,1249,52000,64999
69799,6,0,value,1000,1249,52000,64999
70200,7,192,value,1000,1249,52000,64999
70420,7,119,value,1000,1249,52000,64999
70540,7,0,value,1000,1249,52000,64999
70620,7,92,value,1000,1249,52000,64999
70700,7,22,value,1000,1249,52000,64999
71000,7,598,value,1000,1249,52000,64999
71300,7,152,value,1000,1249,52000,64999
72200,7,83,value,1000,1249,52000,64999
72300,7,175,value,1000,1249,52000,64999
72330,7,81,value,1000,1249,52000,64999
72800,7,267,value,1000,1249,52000,64999
73600,7,115,value,1000,1249,52000,64999
74050,7,39,value,1000,1249,52000,64999
74550,7,42,value,1000,1249,52000,64999
74560,7,8,value,1000,1249,52000,64999
74660,7,116,value,1000,1249,52000,64999
74680,7,53,value,1000,1249,52000,64999
79399,7,27,value,1000,1249,52000,64999
79799,7,0,value,1000,1249,52000,64999
89399,8,3464,value,1000,1249,52000,64999
89799,8,0,value,1000,1249,52000,64999
99399,9,70,value,1000,1249,52000,64999
99799,9,0,value,1000,1249,52000,64999
10050,1,1186,value,1250,1499,65000,77999
10130,1,631,value,1250,1499,65000,77999
10250,1,1079,value,1250,1499,65000,77999
10300,1,57,value,1250,1499,65000,77999
10470,1,890,value,1250,1499,65000,77999
10550,1,904,value,1250,1499,65000,77999
10600,1,330,value,1250,1499,65000,77999
10650,1,197,value,1250,1499,65000,77999
10750,1,6776,value,1250,1499,65000,77999
10800,1,111,value,1250,1499,65000,77999
10850,1,170,value,1250,1499,65000,77999
10900,1,1611,value,1250,1499,65000,77999
10950,1,37,value,1250,1499,65000,77999
11100,1,828,value,1250,1499,65000,77999
11150,1,44,value,1250,1499,65000,77999
11200,1,25,value,1250,1499,65000,77999
11250,1,328,value,1250,1499,65000,77999
11300,1,641,value,1250,1499,65000,77999
11350,1,721,value,1250,1499,65000,77999
11400,1,304,value,1250,1499,65000,77999
11450,1,1380,value,1250,1499,65000,77999
11500,1,3552,value,1250,1499,65000,77999
11520,1,1287,value,1250,1499,65000,77999
11570,1,7185,value,1250,1499,65000,77999
11600,1,62,value,1250,1499,65000,77999
11650,1,7455,value,1250,1499,65000,77999
11700,1,32,value,1250,1499,65000,77999
11720,1,1177,value,1250,1499,65000,77999
11730,1,1252,value,1250,1499,65000,77999
11750,1,70,value,1250,1499,65000,77999
11800,1,1902,value,1250,1499,65000,77999
12000,1,113,value,1250,1499,65000,77999
12150,1,85,value,1250,1499,65000,77999
12350,1,325,value,1250,1499,65000,77999
12380,1,4437,value,1250,1499,65000,77999
12700,1,204,value,1250,1499,65000,77999
12730,1,203,value,1250,1499,65000,77999
12750,1,1125,value,1250,1499,65000,77999
12850,1,4224,value,1250,1499,65000,77999
12870,1,321,value,1250,1499,65000,77999
12900,1,230,value,1250,1499,65000,77999
12930,1,2829,value,1250,1499,65000,77999
12950,1,91,value,1250,1499,65000,77999
13010,1,224,value,1250,1499,65000,77999
13310,1,679,value,1250,1499,65000,77999
13340,1,257,value,1250,1499,65000,77999
13450,1,601,value,1250,1499,65000,77999
13510,1,275,value,1250,1499,65000,77999
13550,1,260,value,1250,1499,65000,77999
13660,1,143,value,1250,1499,65000,77999
13800,1,1283,value,1250,1499,65000,77999
13850,1,67,value,1250,1499,65000,77999
13910,1,453,value,1250,1499,65000,77999
14000,1,2303,value,1250,1499,65000,77999
14100,1,127,value,1250,1499,65000,77999
14170,1,2388,value,1250,1499,65000,77999
14200,1,411,value,1250,1499,65000,77999
14300,1,131,value,1250,1499,65000,77999
14350,1,682,value,1250,1499,65000,77999
14400,1,450,value,1250,1499,65000,77999
14500,1,1418,value,1250,1499,65000,77999
14550,1,213,value,1250,1499,65000,77999
14600,1,128,value,1250,1499,65000,77999
14650,1,4547,value,1250,1499,65000,77999
14700,1,412,value,1250,1499,65000,77999
14750,1,242,value,1250,1499,65000,77999
14850,1,1060,value,1250,1499,65000,77999
14870,1,394,value,1250,1499,65000,77999
14900,1,4026,value,1250,1499,65000,77999
14920,1,200,value,1250,1499,65000,77999
14950,1,84,value,1250,1499,65000,77999
15050,1,1745,value,1250,1499,65000,77999
15240,1,2324,value,1250,1499,65000,77999
15270,1,468,value,1250,1499,65000,77999
15300,1,255,value,1250,1499,65000,77999
15350,1,273,value,1250,1499,65000,77999
15520,1,279,value,1250,1499,65000,77999
15560,1,90,value,1250,1499,65000,77999
15650,1,275,value,1250,1499,65000,77999
15700,1,494,value,1250,1499,65000,77999
15750,1,265,value,1250,1499,65000,77999
15800,1,152,value,1250,1499,65000,77999
15850,1,133,value,1250,1499,65000,77999
15900,1,3029,value,1250,1499,65000,77999
15950,1,646,value,1250,1499,65000,77999
15990,1,3713,value,1250,1499,65000,77999
16100,1,127,value,1250,1499,65000,77999
16150,1,837,value,1250,1499,65000,77999
16200,1,298,value,1250,1499,65000,77999
16260,1,4404,value,1250,1499,65000,77999
16350,1,4103,value,1250,1499,65000,77999
16380,1,2085,value,1250,1499,65000,77999
16400,1,1665,value,1250,1499,65000,77999
16490,1,856,value,1250,1499,65000,77999
16550,1,1712,value,1250,1499,65000,77999
16610,1,599,value,1250,1499,65000,77999
16650,1,2231,value,1250,1499,65000,77999
